,name,type,formed,location_x,stage,company,acquired,searchfund_index,searchWebsite,companyWebsite,industry,location_y,searchers,investors,associates,search time
147,Rosemore Capital  ,Traditional,2011-06-06,"Pittsburgh, PA, United States",Acquired,Virtual OfficeWare,2012-08-02,159,,http://vowhs.com/,Software,"Pittsburgh, PA, United States","['David\xa0Harel ', 'Joe\xa0Macies']","['Jeff\xa0Stevens', 'Jim\xa0Southern', 'Robert\xa0Dahl ', 'Ashley\xa0Giesler', 'Coley\xa0Andrews', 'Greg\xa0Matthews', 'Grant\xa0Schafle', 'Richard\xa0Augustyn', 'Larry\xa0Dunn']",['David\xa0Kestenberg'],423.0
148,"Arosa, LLC  ",Self Funded,2011-07-01,"Durham, NC, United States",Acquired,Nurse Care of North Carolina,2012-10-01,336,http://arosallc.com/,http://www.nursecarenc.com/,Healthcare,"Raleigh, NC, United States",['Ari\xa0Medoff'],[],[],458.0
149,High Park Capital Partners  ,Traditional,2011-07-07,"Toronto, ON, Canada",Acquired,eCompliance,2012-10-10,143,inactive: http://www.highparkcapital.com/,http://www.ecompliance.com/,Software,"Toronto, ON, Canada","['Adrian\xa0Bartha', 'Josh\xa0LeBrun']","['Jeff\xa0Stevens', 'Jim\xa0Southern', 'Coley\xa0Andrews', 'Stephen\xa0Clearman', 'Tushar\xa0Shah', 'Paul\xa0Rogers', 'Glenn\xa0Healey', 'Scott\xa0Asen', 'Bill\xa0Egan ', 'Peter\xa0Francis ', 'Sidney\xa0Hynes ', 'David\xa0Lazier', 'Alina\xa0Osorio ', 'Martin\xa0Steber', 'Richard\xa0Venn ', 'Tom\xa0Cassutt', 'Jim\xa0Ellis', 'Josh\xa0Harlan ', 'Peter\xa0Kelly', 'Sandro\xa0Mina', 'Kevin\xa0Taweel', 'Steven\xa0Wheelwright', 'Pat\xa0Madigan ', 'Ashley\xa0Giesler', 'Greg\xa0Matthews', 'Grant\xa0Schafle']",[],461.0
150,Madison Equity Associates  ,Traditional,2010-07-07,"Chicago, IL, United States",Acquired,Little Sprouts,2012-10-10,118,http://madisonequityassociates.com/,http://www.littlesprouts.com,Consumer Services,"Boston, MA, United States",['Mark\xa0Anderegg'],"['Jim\xa0Southern', 'Coley\xa0Andrews', 'Scott\xa0Asen', 'Craig\xa0Burr ', 'Bill\xa0Egan ', 'Mark\xa0Egan ', 'Matthew\xa0Burr', 'Ted\xa0McCarthy', 'Sandro\xa0Mina', ""MK\xa0O'Connell"", 'David\xa0Chandler', 'Rob\xa0Healy', 'Tim\xa0Murray', 'William\xa0Royall ', 'Gunnar\xa0Bjorklund ', 'Anders\xa0Brag ', 'Robert\xa0Dahl ', 'Glenn\xa0Healey', 'Tim\xa0Ludwig', 'A.J.\xa0Wasserstein', 'Kent\xa0Weaver', 'Paul\xa0Davies', 'Natalie\xa0Cryer', 'Rene\xa0Lajous', 'Chris\xa0Sekula', 'Keith\xa0Gross', 'Jonathan\xa0Schatz', ""Michael F\xa0O'Connell""]",[],826.0
151,Knob Hill Partners  ,Traditional,2008-06-06,"Boston, MA, United States",Acquired,Sage Data Security,2012-11-11,125,,http://www.sagedatasecurity.com,Software,"Portland, ME, United States","['Charles\xa0Burckmyer', 'Scott\xa0Noll']","['Richard\xa0Augustyn', 'Larry\xa0Dunn', 'Jeff\xa0Stevens', 'Ashley\xa0Giesler', 'Greg\xa0Matthews', 'Grant\xa0Schafle']",[],1619.0
152,Fig Tree Partners  ,Traditional,2012-11-01,"San Francisco, CA, United States",Acquired,"Wiser Solutions, Inc.",2012-12-01,732,inactive: http://www.figtreepartners.com/,http://www.wiser.com/,Business Services,"San Mateo, CA, United States",['Andy\xa0Ballard '],[],[],30.0
153,"Servan & Co, LLC  ",Single Sponsor,2017-07-01,"Boston, MA, United States",Acquired,Onsite Truck & Trailer Service LLC,2012-12-01,521,http://www.servanandco.com/,http://www.onsitetruckrepairky.com/,Transportation,"Louisville, Kentucky, USA",['Flo\xa0Servan'],"['Timothy\xa0Bovard', 'Jeremy\xa0Silverman', 'Andrea\xa0Gonzalez Corleto', 'Chris\xa0Fuller', 'Zachary\xa0Kahane']",[],-1673.0
154,Triple Creek Capital  ,Traditional,2011-01-01,"Longmont, CO, United States",Acquired,Circle Graphics,2013-01-01,265,http://www.triplecreekcapital.com/,www.circlegraphicsonline.com,Manufacturing,"Longmont, CO, United States",['Andrew\xa0Cousin'],"['Craig\xa0Burr ', 'David\xa0Carver', 'David\xa0Dodson', 'Jim\xa0Edmunds', 'Jim\xa0Ellis', 'Brad\xa0Fauvre ', 'Peter\xa0Francis ', 'Michael\xa0T. Fries ', 'Grant\xa0M. Inman ', 'Rich\xa0Kelley', 'Scott\xa0Lynn ', 'Chris\xa0Mathias ', ""Michael F\xa0O'Connell"", 'David\xa0Prokupek ', 'Barry\xa0Reynolds ', 'Gerald\xa0Risk', 'Gary\xa0Seehoff ', 'Rafael\xa0Somoza', 'Jim\xa0Southern', 'José\xa0Stella', 'Howard\xa0Stevenson ', 'Kevin\xa0Taweel', 'Will\xa0Thorndike', 'Kent\xa0Weaver', 'Joe\xa0Niehaus', 'Coley\xa0Andrews']",[],731.0
155,Longship Partners  ,Traditional,2013-01-01,"Dallas, TX, United States",Acquired,RecruitMilitary,2013-01-01,700,,http://www.recruitmilitary.com,Business Services,"Loveland, OH, United States",['Peter\xa0Gudmundsson'],"['Jeff\xa0Stevens', 'Ashley\xa0Giesler', 'Greg\xa0Matthews', 'Grant\xa0Schafle', 'Richard\xa0Augustyn', 'Larry\xa0Dunn', 'David\xa0Carver', 'Jim\xa0Edmunds', 'Michelle\xa0Fortier']",[],0.0
156,SHR Capital Partners  ,Traditional,2010-01-01,"New York, NY, United States",Acquired,Gogotech,2013-01-01,459,http://www.shrcap.com/,http://www.Gogotech.com,Software,"New York, NY, United States","['Hassan\xa0Ragab', 'Tido\xa0Meyerhoff']","['Tom\xa0Cassutt', 'David\xa0Lazier', 'Harold\xa0Mottet', 'David\xa0Carver', 'Jim\xa0Edmunds', 'Rich\xa0Kelley']",[],1096.0
157,Ender Ventures  ,Traditional,2012-01-01,"San Francisco, CA, United States",Acquired,Alert1,2013-01-02,199,,https://www.alert-1.com/,Business Services,"Williamsport, PA, United States","['Shayne\xa0Fitz-Coy', 'Arar\xa0Han ']",['Peter\xa0Kelly'],[],367.0
158,Solquest Management LLC  ,Traditional,2011-04-01,"Brentwood, TN, United States",Acquired,"Espyr (formerly EAP Consultants,LLC)",2013-02-01,452,,http://www.eapconsultants.com,Business Services,"Atlanta, GA, United States",['Rick\xa0Taweel '],"['Jim\xa0Southern', 'Tom\xa0Cassutt', 'David\xa0Lazier', 'Jeff\xa0Stevens', 'Ashley\xa0Giesler', 'Coley\xa0Andrews', 'Greg\xa0Matthews', 'Grant\xa0Schafle']",[],672.0
159,Pylon Capital  ,Traditional,2011-05-11,"Los Angeles, CA, United States",Acquired,FastSpring,2013-03-03,122,http://www.pyloncap.com,https://fastspring.com/,Software,"Santa Barbara, CA, United States","['Chris\xa0Lueck', 'Tom\xa0Tzakis']","['Jim\xa0Southern', 'Tom\xa0Cassutt', 'David\xa0Lazier', 'Jeff\xa0Stevens', 'Ashley\xa0Giesler', 'Coley\xa0Andrews', 'Harold\xa0Mottet', 'Greg\xa0Matthews', 'Grant\xa0Schafle', 'Richard\xa0Augustyn', 'Larry\xa0Dunn', 'David\xa0Carver', 'Jim\xa0Edmunds', 'Rich\xa0Kelley', 'Glenn\xa0Healey', 'Paul\xa0Rogers', 'Todd\xa0Tracey', 'Howard\xa0Stevenson ', 'Andrew\xa0Stevenson ', 'Will\xa0Stevenson', 'Nicholas\xa0Stonnington ', 'Brian\xa0McGuigan ', 'Ken\xa0Alston', 'Todd\xa0Sandoz ', 'Scott\xa0Asen', 'Jeff\xa0Diermeier ', 'Chris\xa0Lewis ', 'Courtney\xa0Shea ', 'Bill\xa0Egan ', 'Ted\xa0McCarthy', 'Kent\xa0Weaver', 'Stan\xa0Baratz ', 'Allen\xa0Hill ', 'Bob\xa0Oster ']",[],662.0
160,Coles Bay Group  ,Self Funded,2013-01-01,"Brooklyn, NY, USA",Acquired,All Type Electric,2013-04-01,339,http://www.colesbaygroup.com/,http://alltype.ca/,Construction,"Edmonton, AB, Canada","['Michael\xa0Brown', 'Alexander\xa0Eu']",[],[],90.0
161,BackCountry Capital  ,Traditional,2011-07-01,"Denver, CO, United States",Acquired,Eagle Automation (fka Scada Source),2013-05-01,312,http://www.backcountrycapital.com/c,http://www.eagleautomation.com,Oil and Gas,"Denver, CO, United States",['Brandon\xa0Giles '],"['Jeff\xa0Stevens', 'Ashley\xa0Giesler', 'Greg\xa0Matthews', 'Grant\xa0Schafle', 'Richard\xa0Augustyn', 'Larry\xa0Dunn', 'Tom\xa0Cassutt', 'Robert\xa0Dahl ', 'Jim\xa0Ellis', 'Peter\xa0Francis ', 'David\xa0Lazier', 'Gerald\xa0Risk', 'Jim\xa0Sharpe', 'Rafael\xa0Somoza', 'José\xa0Stella', 'Kevin\xa0Taweel', 'Kent\xa0Weaver', 'Joe\xa0Niehaus', 'Will\xa0Thorndike', 'Glenn\xa0Healey', 'Paul\xa0Rogers']","['Edward\xa0Eiboden ', 'Dapo\xa0Fedeyi ']",670.0
162,Rall Search Fund  ,Traditional,,"San Diego, CA, USA",Acquired,Golden Shine Cleaning Services (now Cleanology),2013-05-31,992,,https://goldenshine.com/,Consumer Services,"San Diego, CA, USA","['Matthew\xa0Rall', 'Chris\xa0Rall']",[],[],
163,TBG Equity  ,Self Funded,2012-01-01,"Los Angeles, CA, United States",Acquired,Cadence Power,2013-06-01,528,http://www.tbgequity.com/,http://www.cadencepower.com/,Utilities,"CA 92625, United States",['Jake\xa0Bergman '],[],[],517.0
164,GrowthFire  ,Traditional,2008-01-01,"Minneapolis, MN, United States",Acquired,Great Bay Software,2013-06-01,460,http://www.growthfire.com/,http://www.greatbaysoftware.com,Software,"Bloomington, MN, United States",['Tim\xa0Butler'],"['Tom\xa0Cassutt', 'David\xa0Lazier', 'Avinash\xa0Ambale ', 'Stan\xa0Baratz ', 'Stan\xa0Bell ', 'Richard\xa0Butler ', 'George\xa0Daum ', 'Thomas\xa0Hudson ', 'David\xa0Carver', 'Larry\xa0Lepard', 'Billy (William)\xa0Maguy ', 'Chris\xa0Walker ']",[],1978.0
165,Golden Spike Capital  ,Self Funded,2011-11-01,"Kansas City, MO, United States",Acquired,Carlson Products LLC,2013-07-01,511,Golden Spike Capital,https://www.carlsonproducts.com/,Manufacturing,"Maize, KS, United States",['Austin\xa0Peterson '],[],[],608.0
166,Succession Leadership Capital  ,Traditional,2012-06-01,"Reading, PA, United States",Acquired,Zeswitz Music,2013-07-01,333,http://successionleadership.com/,http://zeswitzmusic.com/,Consumer Services,"Reading, PA, United States",['Randy\xa0Shayler'],"['Rick\xa0Ruback', 'Royce\xa0Yudkoff']",[],395.0
167,Ascent Equity Group  ,Traditional,2012-06-01,"Houston, TX, United States",Acquired,Rod & Tubing Services,2013-08-01,319,http://www.ascentequity.com/,http://www.rtsinspection.com,Oil and Gas,"Houston, TX, United States","['Joseph\xa0Sikoscow', 'Daniel\xa0Williams', 'Joseph \xa0Saliba']","['Andy\xa0Love', 'Brad\xa0Buser', 'B.A.\xa0Cullum', 'Jon\xa0Altschuler', 'Ganesh\xa0Betanabhatla ', 'John\xa0De Meritt ', 'Steve\xa0Duke ', 'Glenn\xa0Hubbard', 'Karl\xa0Kurz ', 'Tim\xa0Ludwig', 'Alberto\xa0Martin-Soberón ', 'Rafael\xa0Somoza', 'José\xa0Stella', 'Kent\xa0Weaver', 'Gabriel\xa0Wood ', 'Paul\xa0Davies', 'Rene\xa0Lajous', 'Chris\xa0Sekula', 'Natalie\xa0Cryer', 'Fred\xa0Coulson ', 'Aaron\xa0Handke ', 'Joe\xa0Onofrio ', 'Ken\xa0Bowdon', 'Anthony\xa0Roberts', 'Rich\xa0Kelley', 'Jim\xa0Edmunds', 'David\xa0Carver', 'Todd\xa0Tracey']","['Sebastian\xa0Gast', 'Kelci\xa0Thomasco ', 'James\xa0Saliba', 'Jay\xa0Guo ']",426.0
168,Be Tru LLC  ,Self Funded,2012-07-01,"Royal Oak, Michigan, United States",Acquired,Tru Dental,2013-09-01,523,,https://trufamilydental.com/,Business Services,"Royal Oak, MI, United States","['Brandon\xa0Halcott', 'Erik\xa0Abraham ']",[],[],427.0
169,FI Partners  ,Traditional,2013-01-01,"North York, Toronto, Ontario, Canada",Acquired,Caryl Baker Visage (CBV) (cosmetics),2013-10-01,944,http://www.fipartners.ca/,https://carylbakervisage.com/,Consumer Services,"Toronto, ON, Canada","['Justin\xa0Dumitrescu ', 'Nathan\xa0Tam ']",[],[],273.0
170,Pacific Generation Partners  ,Self Funded,2012-01-01,"Los Angeles, CA, United States",Acquired,Xemplar Workforce Solutions,2013-10-01,468,http://www.pacgenpartners.com/,http://www.xemplar.com,Business Services,"Salt Lake City, UT, United States","['Andrew\xa0Adler ', 'Adam\xa0Himoff ']",[],[],639.0
171,"Fore River Ventures, LLC  ",Self Funded,2011-09-01,"Boston, MA, United States",Acquired,Co-Energy America,2013-10-01,490,,http://www.coenergyamerica.com/,Oil and Gas,"Upton, MA",['C.\xa0Trevor Childs '],[],[],761.0
172,Footbridge Partners  ,Traditional,2012-06-01,"New York, NY, United States",Acquired,smarTours,2013-10-11,181,http://www.footbridgepartners.com/,http://www.smarTours.com,Consumer Services,"New York, NY, United States","['Greg\xa0Geronemus', 'David\xa0Rosner ']","['Harold\xa0Mottet', 'Michael\xa0Klein ', 'Kent\xa0Weaver', 'Tim\xa0Ludwig', 'A.J.\xa0Wasserstein', 'Badge\xa0Stone', 'Steve\xa0Ressler']","['Michael\xa0Atzmon', 'Howard\xa0Jordan Jacobsen ']",497.0
173,BrightStar Capital (London)  ,Traditional,2013-07-01,"London, UK",Acquired,"NRG Gym, Ltd.",2013-11-01,1266,www.brightstarcapital.co.uk,https://nrggym.com/,Consumer Services,"London, UK",['Tom\xa0Billings'],[],[],123.0
174,CPS Management Partners  ,Traditional,2013-04-04,"Toronto, ON, Canada",Acquired,Windley Ely,2013-11-11,78,,http://windleyely.com/,Business Services,"London, ON, Canada","['Michael\xa0Arblaster', 'Jeffrey\xa0Tung']","['Jeff\xa0Stevens', 'Ashley\xa0Giesler', 'Rene\xa0Lajous', 'Richard\xa0Augustyn', 'Peter\xa0Kelly', 'Tim\xa0Ludwig', 'Kent\xa0Weaver', 'Scott\xa0Asen', 'Wei\xa0Lin', 'Peter\xa0Francis ', 'Andy\xa0Love', ""MK\xa0O'Connell"", 'A.J.\xa0Wasserstein', 'Greg\xa0Matthews', 'Grant\xa0Schafle', 'Larry\xa0Dunn', 'Brad\xa0Buser']",[],221.0
175,KvS Beteiligung Gmbh  ,Traditional,2011-08-08,"Munich, Germany",Acquired,S-CAPE & caresyntax,2013-12-06,358,,https://caresyntax.com/about/ ,Healthcare,"Berlin, Germany","['Björn\xa0von Siemens ', 'Dennis\xa0Kogan']","['Sandro\xa0Mina', 'Martin\xa0Steber', 'Jim\xa0Sharpe', 'Steven\xa0Wheelwright']",[],851.0
176,RedLeaf Management Partners  ,Traditional,2012-07-07,"Toronto, ON, Canada",Acquired,Microdea,2013-12-12,180,http://www.redleafpartners.com/,https://www.microdea.com/,Software,"Markham, ON, Canada",['Steve\xa0Divitkos'],"['Richard\xa0Augustyn', 'Austin\xa0Beutel ', 'David\xa0Carver', 'Tom\xa0Cassutt', 'Jim\xa0Edmunds', 'Rich\xa0Kelley', 'David\xa0Lazier', 'Sandro\xa0Mina', 'Duane\xa0Phillips ', 'Paul\xa0Rogers', 'Rick\xa0Ruback', 'Jim\xa0Sharpe', 'Gerald\xa0Sheff ', 'Martin\xa0Steber', 'Richard\xa0Venn ', 'Royce\xa0Yudkoff', 'Larry\xa0Dunn']",[],523.0
177,Mammoth Equity Partners  ,Traditional,2011-06-04,"San Francisco, CA, United States",Acquired,Aegis Treatment Centers,2014-01-01,194,,https://aegistreatmentcenters.com/,Healthcare,"Los Angeles, CA, United States","['Andrew\xa0Brown', 'Alex\xa0Dodd']","['Jim\xa0Southern', 'Coley\xa0Andrews', 'Tom\xa0Cassutt', 'Casper\xa0De Clercq ', 'Jim\xa0Ellis', 'Jim\xa0Franke ', '\xa0Nicholas Greenspan ', 'David\xa0Lazier', 'Lenny\xa0Mendonca', 'Michael\xa0Miles', 'Gerald\xa0Risk', 'Rafael\xa0Somoza', 'Jim\xa0Sharpe', 'José\xa0Stella', '\xa0Robert Sternfels ', 'Kevin\xa0Taweel', 'Gunnar\xa0Bjorklund ', 'Sandro\xa0Mina', 'Martin\xa0Steber', 'Will\xa0Thorndike', 'Paul\xa0Davies', 'Rene\xa0Lajous', 'Chris\xa0Sekula', 'Natalie\xa0Cryer', 'Jim\xa0Wilder', 'Joe\xa0Niehaus', 'Mark\xa0Hilderbrand ', 'Glenn\xa0Healey', 'Paul\xa0Rogers', 'Keith\xa0Gross']",[],942.0
178,"Attis Capital Partners, LLC  ",Self Funded,2012-01-01,"Newport Beach, CA, USA",Acquired,CCS/ Nature Care - Commercial Landscape and Facility Maintenance,2014-01-01,888,https://attispartners.weebly.com/,https://www.naturecarelandscaping.com/,Business Services,"Los Angeles, CA, USA",['Anuj\xa0Gup'],[],[],731.0
179,Arcu Capital  ,Traditional,2013-05-01,"Mexico City, Mexico",Acquired,Grupo Torre Médica,2014-01-01,526,inactive: http://www.arcucapital.com/,http://grupotm.com.mx,Healthcare,"Mexico City, Mexico","['Julian\xa0Arber ', 'Rodrigo\xa0Cuevas ', 'Gustavo\xa0Fernández de Loyola ']","['Sandro\xa0Mina', 'Martin\xa0Steber']",['Bernardo\xa0Garza Quiroga'],245.0
180,Blue Springs Capital Partners  ,Self Funded,2012-10-10,"Orlando, FL, United States",Acquired,Blue Vault Partners,2014-01-01,203,http://bluespringscapital.com/,http://bluevaultpartners.com/,Real Estate,"Orlando, FL, United States","['Jared\xa0Schneider', 'Jeff\xa0Halbert ']","['Ruben\xa0Perez ', 'Heath\xa0Ritenour ', 'Craig\xa0Peterson ']",[],448.0
181,MPG Equity Partners LLC  ,Traditional,2013-07-01,"Chicago, IL, United States",Acquired,BrainBits LLC,2014-01-01,571,http://www.mpgequity.com/,http://www.brainbitsllc.com/,Healthcare,"Chicago, IL, United States",['Michael\xa0Goy'],[],[],184.0
182,Perigee Capital Partners  ,Traditional,2012-03-03,"Round Rock, TX, United States",Acquired,developerprogram,2014-01-14,193,http://www.perigeecapital.com/,http://developerprogram.com/,Software,"Round Rock, TX, United States",['Bhavesh\xa0Patel'],"['Coley\xa0Andrews', 'Richard\xa0Augustyn', 'Tom\xa0Cassutt', 'Brandon\xa0Cope ', 'Paul\xa0Davies', 'Rene\xa0Lajous', 'Chris\xa0Sekula', 'Jim\xa0Ellis', 'David\xa0Lazier', 'Chris\xa0Mahowald', 'Steven\xa0Meltzer ', 'Trygve\xa0Mikkelsen ', 'Bob\xa0Oster ', 'Gerald\xa0Risk', 'Jim\xa0Southern', 'Jeff\xa0Stevens', 'Kevin\xa0Taweel', 'David\xa0Thompson ', 'Ashley\xa0Giesler', 'Greg\xa0Matthews', 'Grant\xa0Schafle', 'Larry\xa0Dunn', 'Joel\xa0Peterson']",[],682.0
183,"Red Iron Partners, LLC  ",Traditional,2011-01-01,"Charlotte, NC, USA",Acquired,"Carolina Recording Systems, LLC",2014-02-01,1058,http://www.redironpartners.com/,https://www.crsnc.com/,Business Services,"Charlotte, NC, USA","['Byron\xa0Burns', 'Byron\xa0B. Burns III ']",[],[],1127.0
184,Garnett Station Partners  ,Traditional,2013-08-08,"New York, NY, United States",Acquired,Burger King Franchises,2014-04-04,164,http://www.garnettstation.com/,http://www.garnettstation.com/burger-king,Retail,United States,"['Alex\xa0Sloane', 'Matthew\xa0Perelman']",['Daniel\xa0Reese'],[],239.0
185,Seneca Creek Partners  ,Traditional,2013-06-06,"Atlanta, GA, United States",Acquired,Krueger Gilbert Health Physics (KGHP),2014-04-04,128,http://www.senecacreekpartners.com/,http://kruegergilbert.com/,Healthcare,"Baltimore, MD, United States","['Keith\xa0Burns', 'Michael\xa0Curry']","['Jeff\xa0Stevens', 'Ashley\xa0Giesler', 'Paul\xa0Davies', 'Rene\xa0Lajous', 'Chris\xa0Sekula', 'Aaron\xa0Gabbart', 'Joel\xa0Peterson', 'Glenn\xa0Healey', 'Zachary\xa0Urban', 'David\xa0Carver', 'Jim\xa0Edmunds', 'Rich\xa0Kelley', 'Tim\xa0Ludwig', 'Kent\xa0Weaver', 'Peter\xa0Kelly', 'David\xa0Dodson', 'Sandro\xa0Mina', 'Jim\xa0Perry ', 'Gerald\xa0Risk', 'A.J.\xa0Wasserstein', 'Martin\xa0Steber', 'Rachel\xa0Sheridan ', 'Paul\xa0Sheridan ', 'Tomas\xa0Bergstrand', 'Ravi\xa0Mallik', 'Greg\xa0Matthews', 'Grant\xa0Schafle', 'Richard\xa0Augustyn', 'Larry\xa0Dunn']",['Darius\xa0Redmon'],302.0
186,Ironclad Capital  ,Traditional,2013-06-06,"Louisville, KY, United States",Acquired,NeuroInternational,2014-05-01,65,http://www.ironcladcap.com/,http://www.neurointernational.com/,Healthcare,"Sarasota, FL, United States",['Noah\xa0Riner'],"['Bob\xa0Oster ', 'Aaron\xa0Gabbart', 'Jeff\xa0Stevens', 'Richard\xa0Augustyn', 'Bret\xa0Comolli', 'David\xa0Dodson', 'Tom\xa0Cassutt', 'Ed\xa0Haldeman ', 'Allen\xa0Hill ', 'Steve\xa0Kaufmann ', 'Peter\xa0Kelly', 'David\xa0Lazier', 'Andy\xa0Love', 'Sandro\xa0Mina', 'Rich\xa0Kelley', 'Jim\xa0Edmunds', 'David\xa0Carver', 'Kent\xa0Weaver', 'William\xa0Norvell', 'Ashley\xa0Giesler', 'Greg\xa0Matthews', 'Grant\xa0Schafle', 'Larry\xa0Dunn', 'Brad\xa0Buser', 'Martin\xa0Steber']",[],329.0
187,Impala Investment Holdings LLC  ,Traditional,2012-09-01,Kenya,Acquired,Aquavita Limited,2014-06-01,356,http://impalainvestmentholdings.com/,http://aquavitallc.com/,Business Services,"Nairobi, Nairobi County, Kenya",['Jane\xa0Kaggwa '],"['Jim\xa0Southern', 'Rafael\xa0Somoza', 'Tom\xa0Cassutt', 'Sandro\xa0Mina', 'Martin\xa0Steber', 'Will\xa0Thorndike', 'Coley\xa0Andrews', 'José\xa0Stella', 'David\xa0Lazier', 'Peter\xa0Kelly']",[],638.0
188,Long Trail Leadership  ,Single Sponsor,2013-07-01,"Manalapan Township, NJ, United States",Acquired,"Fail Safe Testing, Inc. (fire hose, pump & ladder testing)",2014-06-01,332,http://ltleadership.com/,http://www.failsafeusa.com/,Business Services,"Manalapan Township, NJ, United States",['Kousha\xa0Bautista-Saeyan'],"['Rick\xa0Ruback', 'Royce\xa0Yudkoff']",[],335.0
189,Graycourt Capital  ,Traditional,2013-02-02,"Dallas, TX, United States",Acquired,The Pet Loss Center,2014-06-06,62,http://graycourtcapital.com/,https://thepetlosscenter.com/,Consumer Services,"Dallas, TX, United States",['Nick\xa0Padlo'],"['Paul\xa0Davies', 'Rene\xa0Lajous', 'Chris\xa0Sekula', 'Fred\xa0Coulson ', 'Joe\xa0Onofrio ', 'Joel\xa0Peterson', 'Aaron\xa0Gabbart', 'Paul\xa0Rogers', 'Glenn\xa0Healey', 'David\xa0Carver', 'Rich\xa0Kelley', 'Jim\xa0Edmunds', 'Matthew\xa0Burr', 'Craig\xa0Burr ', 'Tom\xa0Cassutt', 'Robert\xa0Cherun ', 'Bill\xa0Egan ', 'David\xa0Lazier', 'Andy\xa0Love', 'Tim\xa0Ludwig', 'Bob\xa0Oster ', 'Hernan\xa0Saenz ', 'Doug\xa0Tudor ', 'A.J.\xa0Wasserstein', 'Brendan\xa0Wallace ', 'Kent\xa0Weaver', 'Brad\xa0Buser']","['Austin\xa0Finch', 'Connor\xa0Heard']",489.0
190,Base Equity Partners  ,Self Funded,2013-01-01,"New York, NY",Acquired,ACT lighting,2014-07-01,385,http://baseequitypartners.com/,http://www.actlighting.com,Business Services,"Burbank, CA, United States","['Ben\xa0Schneider ', 'Anthony\xa0 Ekmekjian ']",['Meagan\xa0Hill'],[],546.0
191,Light Beam Capital  ,Traditional,2012-02-02,"New York, NY, United States",Acquired,DCI Design Communications,2014-07-07,140,http://www.lightbeamcapital.com/,http://www.dci-design.com/,Business Services,"New York, NY, United States",['Charbel\xa0Zreik'],"['Paul\xa0Davies', 'Chris\xa0Sekula', 'Rene\xa0Lajous', 'Glenn\xa0Healey', 'Jeff\xa0Stevens', 'Joel\xa0Peterson', 'Dan\xa0Peterson ', 'Brandon\xa0Cope ', 'Sandro\xa0Mina', 'David\xa0Carver', 'Rich\xa0Kelley', 'Jim\xa0Edmunds', 'Tim\xa0Ludwig', 'Tushar\xa0Shah', 'A.J.\xa0Wasserstein', 'Bill\xa0Egan ', 'Bob\xa0Adelson ', 'Robert\xa0Dahl ', 'Craig\xa0Burr ', 'José\xa0Stella', 'Rafael\xa0Somoza', 'Kent\xa0Weaver', ""MK\xa0O'Connell"", ""Michael F\xa0O'Connell"", 'Richard\xa0Augustyn', 'Tom\xa0Cassutt', 'David\xa0Lazier', 'Todd\xa0Sandoz ', 'Ashley\xa0Giesler', 'Greg\xa0Matthews', 'Grant\xa0Schafle', 'Larry\xa0Dunn', 'Martin\xa0Steber']",[],886.0
192,Wolf Point Growth Partners  ,Traditional,2011-01-01,"Chicago, IL, United States",Acquired,"Caravel Autism Health (Lund Van Dyke, LLC.)",2014-07-31,439,,http://caravelautism.com/,Healthcare,"Green Bay, Wisconsin, United States",['Mike\xa0Miller '],"['Jeff\xa0Stevens', 'Joel\xa0Peterson', 'Robert\xa0Whitelaw', 'Rick\xa0Bruder', 'Ashley\xa0Giesler', 'Greg\xa0Matthews', 'Grant\xa0Schafle', 'Richard\xa0Augustyn', 'Larry\xa0Dunn', 'Andy\xa0Love', 'Brad\xa0Buser', 'B.A.\xa0Cullum']",[],1307.0
193,RoseRock Partners  ,Traditional,2014-06-01,"Dallas, TX, United States",Acquired,Apex Dental Partners,2014-08-01,655,,https://www.apexdp.com/,Healthcare,"Dallas, TX, United States",['Matthew\xa0Hale'],[],[],61.0
194,Sunsphere Capital  ,Single Sponsor,2013-06-01,"Atlanta, GA, United States",Acquired,City Wide Building Services,2014-08-08,121,,https://citywidebuildingservices.com/,Business Services,"Dallas, TX, United States","['Greg\xa0Ambrosia ', 'Will\xa0Sullivan']","['Rick\xa0Ruback', 'Royce\xa0Yudkoff']",[],433.0
195,January Partners  ,Traditional,2010-12-12,"Charlotte, NC, United States",Acquired,FHS SeniorCare Payment Solutions,2014-08-08,123,webite inactive: http://www.januarypartners.com/,http://fhsbillings.com/,Healthcare,"Blue Bell, PA, United States",['Matt\xa0Capell'],"['Jeff\xa0Stevens', 'Ashley\xa0Giesler', 'Greg\xa0Matthews', 'Grant\xa0Schafle', 'Richard\xa0Augustyn', 'Larry\xa0Dunn']",[],1335.0
196,Rift Valley Equity Partners  ,Self Funded,2014-01-01,"New York, NY, United States",Acquired,WHI Global,2014-09-01,572,http://www.riftvalleyequity.com/,http://www.whiglobal.com/,,"Fort Worth, TX, USA","['David\xa0Caputo ', 'OLIVER\xa0ONG ', 'MARK\xa0WOOLGAR ']","['Sandro\xa0Mina', 'Martin\xa0Steber']",[],243.0
