,name,type,formed,location_x,stage,company,acquired,searchfund_index,searchWebsite,companyWebsite,industry,location_y,searchers,investors,associates
245,Wherewithal Partners  ,Self Funded,20141201,"Toronto, ON, Canada",Acquired,Coreio Inc.,20151230,1777,www..wherewithalpartners.com,www.coreio.com,Technology,"Toronto, ON, Canada",['David\xa0Naiman'],[],[]
246,Elcano Partners  ,Traditional,20140701,"Madrid, España",Acquired,Lodisna,20160101,289,website inactive: www.elcanopartners.com,http://www.lodisna.com/,Transportation,"Imárcoain, España",['Jose\xa0Maria Vara Garcia'],"['José\xa0María del Águila ', 'Maurice\xa0Pinto ', 'Antonio\xa0Tuñon ', 'León\xa0Bartolomé ', 'Tom\xa0Cassutt', 'David\xa0Lazier', 'David\xa0Dodson', 'Rob\xa0Johnson ', 'Peter\xa0Kelly', 'Jose\xa0M Cabiedes ', 'Luis\xa0Cabiedes', 'Sandro\xa0Mina', 'Martin\xa0Steber', 'Gerald\xa0Risk', 'José\xa0Stella', 'Rafael\xa0Somoza', 'Will\xa0Thorndike', 'Simon\xa0Webster', 'Blake\xa0Winchell ', 'Brett\xa0Byers ']",[]
247,EMC Capital  ,Self Funded,20150101,"Manchester, UK",Acquired,Karas Plating,20160101,1495,https://emccapital.uk,https://karas.co.uk,Manufacturing,"Manchester, UK",['Christopher\xa0Clarke'],[],[]
248,Everglade Management Partners  ,Single Sponsor,20140909,"Miami, FL, United States",Acquired,Hanlon Acoustical Ceilings,20160101,111,,http://hanlonceilings.com/,Business Services,"Tampa, FL, United States",['Nicolas\xa0Contag'],['Shannon\xa0Jones'],[]
249,Joseph Thomas Search Fund  ,Traditional,20140101,"Bloomington, IN, USA",Acquired,"Ambiente OpCo, LLC dba Ambiente Wine",20160101,1378,,https://ambientewine.com/team.html,Food,"Austin, TX, USA",['Joseph\xa0Thomas '],[],[]
250,Novidam Partners  ,Traditional,20140101,"New York, NY, United States",Acquired,World Wide Security (now Briscoe Protective Services),20160128,451,http://www.novidam.com,http://www.worldwidesecurity.nyc/,Business Services,"New York, NY, United States",['Alexander\xa0Schuil'],"['Jim\xa0Southern', 'Coley\xa0Andrews', 'Richard\xa0Augustyn', 'Larry\xa0Dunn', 'Sandro\xa0Mina', 'Martin\xa0Steber', 'Bret\xa0Comolli', 'David\xa0Dodson', 'Bill\xa0Egan ', 'Jim\xa0Ellis', 'Peter\xa0Kelly', 'Bart\xa0van Hoek ', 'Joe\xa0Niehaus', ""MK\xa0O'Connell"", ""Michael F\xa0O'Connell"", 'Bob\xa0Oster ', 'Gerald\xa0Risk', 'Bertil\xa0Schuil ', 'Kevin\xa0Taweel', 'Will\xa0Thorndike', 'Graham\xa0Weaver', 'Kent\xa0Weaver', 'Timothy\xa0Bovard', 'Sean\xa0Pattwell ', 'Mike\xa0Elliott ', 'Marc\xa0der Kinderen ']","['Yi\xa0Lee ', 'Arnoud\xa0Terwindt ', 'Enrico\xa0Manetta ', 'Sun\xa0Kim ', 'Alexander\xa0Rosenbluth ', 'Lauren\xa0Bovard ', 'Peter\xa0Jackson ', 'Siegfried (Ziggy) \xa0Gokea ', 'William\xa0van Hoek ', 'Nicolaas\xa0Bos ', 'Otto\xa0van Wassenaer ']"
251,Springtide Equity Partners  ,Traditional,20140901,Bangkok Thailand,Acquired,"Khaokho Talaypu (now Talaypu Natural Products Co., Ltd. )",20160201,347,NOT ACTIVE: www.springtideequitypartners.com/,http://www.khaokhotalaypu.com/?lang=en,Wholesale,Thailand,"['Nakrin\xa0Narula ', 'Kok Tjun\xa0Chan', 'Robert\xa0Pike ']","['Kirin\xa0Narula ', 'Chan\xa0Chee Keong ']",[]
252,Convex Investing LLC  ,Traditional,20140501,"Los Angeles, CA, United States",Acquired,Eclipse Cash Systems,20160301,436,http://www.convexinvesting.com/,http://www.eclipseatm.com/,Wholesale,"Chandler, AZ, United States",['Chris\xa0Biedrzycki '],"['Jeff\xa0Stevens', 'Jim\xa0Southern', 'Joel\xa0Peterson', 'Richard\xa0Augustyn', 'Tom\xa0Cassutt', 'Bret\xa0Comolli', 'Robert\xa0Dahl ', 'Jim\xa0Ellis', 'David\xa0Lazier', 'Tim\xa0Ludwig', 'Gerald\xa0Risk', 'Kevin\xa0Taweel', 'A.J.\xa0Wasserstein', 'Kent\xa0Weaver', 'Andrew\xa0Hunter ', 'Lacey\xa0Wismer', 'Coley\xa0Andrews', 'Ashley\xa0Giesler', 'Greg\xa0Matthews', 'Grant\xa0Schafle', 'Larry\xa0Dunn', 'Sandro\xa0Mina', 'Martin\xa0Steber']",[]
253,Brook Park Holdings LLC (BPH) ,Self Funded,20150501,"Chicago, IL 60610, USA",Acquired,Norfleet Quality Mulch,20160301,850,http://brookparkholdings.com/,https://norfleetquality.com/,Agriculture,"Fredericksburg, Virginia, USA","['Dan\xa0Palchak', 'Mark\xa0Palchak']",[],[]
254,Radien Legacy Partners  ,Traditional,20200901,"Washington, DC, United States",Search,,20160310,13,www.radienlp.com,,,,"['Rafael\xa0Alfonzo', 'Dairo\xa0Isomura']","['Jeff\xa0Stevens', 'Tom\xa0Cassutt', 'David\xa0Lazier', 'Jim\xa0Edmunds', 'Andy\xa0Love', 'David\xa0Carver', 'Richard\xa0Augustyn', 'David\xa0Dodson', 'Paul\xa0Davies', 'Ashley\xa0Giesler', 'Larry\xa0Dunn', 'Warren\xa0Chan', 'Raymond\xa0Fan', 'Cecilia\xa0Lulli', 'Felipe\xa0Corcuera', 'Clement\xa0Lucas']",[]
255,Arbutus Management Capital  ,Traditional,20150101,"Vancouver, BC, Canada",Acquired,"VetCare Canada, Inc.",20160401,711,inactive: http://www.arbutus-partners.com/,http://vet-care.ca/your-transition/,Consumer Services,"Vancouver, BC, Canada",['Andrew\xa0Black '],['Nicholas\xa0Tse '],[]
256,Arcadia Partners  ,Traditional,20140101,"Greater London, UK",Acquired,Storal Learning,20160401,61,,http://www.storal-learning.co.uk/,Consumer Services,"London, United Kingdom","['Ashwin\xa0Grover', 'Varun\xa0Chanrai']","['Kent\xa0Weaver', 'David\xa0Dodson', 'Bill\xa0Egan ', 'Maurice\xa0Pinto ', 'Jim\xa0Southern', 'A.J.\xa0Wasserstein', 'Jan-Henning\xa0Woitschatzke', 'Simon\xa0Webster', 'Rob\xa0Johnson ', 'Peter\xa0Schober', 'Sandro\xa0Mina', 'Martin\xa0Steber']",[]
257,Rivet Capital Partners  ,Traditional,20150301,"Burlington, VT, United States",Acquired,Subatomic Digital,20160401,238,http://www.subatomicdigital.com,http://www.subatomicdigital.com/,Business Services,"Burlington, VT, United States",['Alex\xa0Lintott '],"['Michael\xa0Miles', 'Carlos\xa0Saez', 'Brad\xa0Brown', 'Jeff\xa0Stevens', 'Ashley\xa0Giesler', 'Greg\xa0Matthews', 'Grant\xa0Schafle', 'Richard\xa0Augustyn', 'Larry\xa0Dunn', 'Sandro\xa0Mina', 'Martin\xa0Steber', 'David\xa0Carver', 'Jim\xa0Edmunds', 'Rich\xa0Kelley', 'Todd\xa0Tracey']",[]
258,Riomar Capital  ,Traditional,20140101,"Charlotte, NC, United States",Acquired,HousingWire,20160404,76,http://www.riomarcapital.com/,http://www.housingwire.com/,Finance,"Dallas, TX, United States",['Clayton\xa0Collins'],"['Jeff\xa0Stevens', 'Jim\xa0Southern', 'Robert\xa0Whitelaw', 'Rick\xa0Bruder', 'Ashley\xa0Giesler', 'Coley\xa0Andrews', 'Craig\xa0Burr ', 'Matthew\xa0Burr', 'Gerald\xa0Risk', 'Doug\xa0Tudor ', 'Kent\xa0Weaver', 'Greg\xa0Matthews', 'Grant\xa0Schafle', 'Richard\xa0Augustyn', 'Larry\xa0Dunn']",[]
259,New Concord Capital  ,Single Sponsor,20130601,"Schiller Park, IL, United States",Acquired,Rose Batteries,20160411,24,http://newconcordcapital.com/,http://www.rosebatteries.com/,Manufacturing,"San Jose, CA, United States",['Itamar\xa0Frankenthal'],"['Rick\xa0Ruback', 'Royce\xa0Yudkoff']",[]
260,"Commodore Capital Partners, LLC  ",Self Funded,20151001,"Atlanta, GA, United States",Acquired,"Our City Media of Florida, LLC",20160501,434,,http://www.ourcitymedia.com/,Consumer Services,"Atlanta, GA, United States",['Terry\xa0Jaillet '],[],[]
261,Cumulus Capital Pte Ltd  ,Traditional,20150901,Singapore,Acquired,The Meat Club Pte Ltd,20160501,531,http://cumulus-cap.com/,https://www.themeatclub.com.sg/,Consumer Services,Singapore,['David\xa0Beattie '],[],[]
262,Everworth  ,Self Funded,20151101,"The Woodlands, TX, USA",Acquired,Bell Intercoolers (custom coolers),20160511,1075,www.everworthllc.com,https://bellintercoolers.com/,Manufacturing,"San Antonio, TX, USA",['David\xa0Gomez'],[],[]
263,Expedition Capital Partners  ,Indepedent Sponsor,20090101,"Chicago, IL 60618, USA",Acquired,Waste Harmonics (waste consolidation),20160519,1086,https://www.expedition-partners.com/,https://wasteharmonics.com/,Business Services,"Victor, NY, USA","['Michael\xa0Cotant', 'Michael\xa0Hendrie']",[],[]
264,N-Squared Growth Capital  ,Self Funded,20111010,"New York, NY, United States",Acquired,AEMS Service Company,20160606,206,http://www.nsquaredgc.com/,http://www.aemsserviceco.com/,Business Services,"Freehold, NJ, United States","['Sudeep\xa0Das', 'Ted\xa0Bernstein ']","['Chris\xa0Hendriksen', 'Kevin\xa0Agatstein', 'Brian\xa0Douglas', 'Matthew\xa0Jarman', 'Mukund\xa0Krishna', 'Jeffrey\xa0Lampe', 'Satish\xa0Malnaik', 'Prashant\xa0Mitta', 'Tej\xa0Shah', 'Jay\xa0Sitaram']",[]
265,La Salle Hill  ,Single Sponsor,20150808,"Boston, MA, United States",Acquired,American Plant Maintenance,20160606,169,http://www.lsh-llc.com/,http://www.apmnortheast.com/,Manufacturing,"Woburn, MA, United States",['Ricardo\xa0Aguirre'],"['Timothy\xa0Bovard', 'Jake\xa0Nicholson', 'Jeremy\xa0Silverman']",[]
266,Arbela Partners  ,Traditional,20140505,"Dallas, TX, United States",Acquired,Zyston,20160606,192,http://www.arbelapartners.com/,https://www.zyston.com/,Software,"Dallas, TX, United States",['Craig\xa0Stamm'],"['Andy\xa0Love', 'Brad\xa0Buser', 'B.A.\xa0Cullum']",['Ben\xa0Poynter']
267,One Praetorian  ,Traditional,20131111,"Chicago, IL, United States",Acquired,ComplianceLine,20160701,153,website inactive: http://www.onepraetorian.com/,http://www.complianceline.com/,Business Services,"Charlotte, NC, United States","['Nick\xa0Gallo', 'Giovanni\xa0Gallo']","['Jeff\xa0Stevens', 'Paul\xa0Davies', 'Wayne\xa0Kocourek ', 'David\xa0Carver', 'Andy\xa0Love', ""Brian\xa0O'Connor"", 'Michael\xa0Grabenstein', 'Bill\xa0Williams ', 'Richard\xa0Augustyn', 'Doug\xa0Tudor ', 'José\xa0Stella', 'Gerald\xa0Risk', 'Jim\xa0Edmunds', 'Chris\xa0Sekula', 'Matt\xa0Estep', 'Rene\xa0Lajous', 'Rich\xa0Kelley', ""Michael F\xa0O'Connell"", 'Rafael\xa0Somoza', 'Todd\xa0Tracey', 'Ashley\xa0Giesler', 'Greg\xa0Matthews', 'Grant\xa0Schafle', 'Larry\xa0Dunn', 'Natalie\xa0Cryer', 'Brad\xa0Buser', 'B.A.\xa0Cullum', ""MK\xa0O'Connell""]",[]
268,Big Tree Capital Partners - BTC ,Traditional,20130505,"Toronto, ON, Canada",Acquired,Omatic Software,20160701,40,http://www.btcpartnersllc.com/,https://www.omaticsoftware.com/,Software,"Charleston, SC, United States","['Daniel\xa0Kim', 'Raymond\xa0Tam']","['Jeff\xa0Stevens', 'Ashley\xa0Giesler', 'Greg\xa0Matthews', 'Grant\xa0Schafle', 'Richard\xa0Augustyn', 'Larry\xa0Dunn', 'Sandro\xa0Mina', 'Martin\xa0Steber', 'Scott\xa0Alderman']",['Rahul\xa0Sen']
269,Prometheus Health Partners  ,Traditional,20140606,"New York, NY, United States",Acquired,Attainia,20160808,197,inactive: http://www.phprtn.com/,https://www.attainia.com/,Software,"Redwood City, CA, United States",['Mike\xa0Rozenfeld'],"['Robert\xa0Whitelaw', 'Rick\xa0Bruder', 'Mark\xa0Rothschild', 'Tushar\xa0Shah', 'Stephen\xa0Clearman', 'Sandro\xa0Mina', 'Martin\xa0Steber', 'Rich\xa0Kelley', 'Jim\xa0Edmunds', 'David\xa0Carver', 'Jon\xa0Altschuler', 'Robert\xa0Dahl ', 'Ashley\xa0Giesler', 'Chris\xa0Hendriksen', 'Allen\xa0Hill ', 'Daniel\xa0Krizek ', 'Andy\xa0Love', 'Casey\xa0Lynch ', 'Michael\xa0Miles', 'Jim\xa0Perry ', 'Kausik\xa0Rajgopal ', 'Andy\xa0Schoonover', 'Andy\xa0Shah ', 'Kent\xa0Weaver', 'Tom\xa0Matlack', 'Brad\xa0Brown', 'Brad\xa0Buser']",['Kishan\xa0Shah']
270,Ascension Point Capital  ,Traditional,20140505,"New York, NY, United States",Acquired,National Test Systems (drug screening supplies and service),20160808,34,inactive: http://ascensionpointcap.com/,http://www.ntsbiz.com/about-us/,Business Services,"Deerfield Beach, FL, USA",['Andrew\xa0Panico'],"['Jeff\xa0Stevens', 'Ashley\xa0Giesler', 'Sandro\xa0Mina', 'Martin\xa0Steber', 'Tushar\xa0Shah', 'Luke\xa0Barthelmess', 'Tomas\xa0Bergstrand', 'Richard\xa0Augustyn', 'Bill\xa0Egan ', 'Craig\xa0Burr ', 'Matthew\xa0Burr', 'Scott\xa0Asen', 'Peter\xa0Schober', 'Kent\xa0Weaver', 'Ted\xa0McCarthy', 'David\xa0Dodson', 'Jon\xa0Altschuler', 'Lacey\xa0Wismer', 'Michael\xa0Miles', 'Jan-Henning\xa0Woitschatzke', 'Rick\xa0Taketa', 'Ken\xa0Alston', 'Greg\xa0Matthews', 'Grant\xa0Schafle', 'Larry\xa0Dunn']",[]
271,The Valent Capital Partners  ,Traditional,20150901,"Chicago, IL, United States",Acquired,ISI Telemanagement Solutions,20160901,328,http://www.valentcapitalpartners.com/t,http://www.isi-info.com/,Business Services,"Schaumburg, IL, United States",['Asim\xa0Aleem '],"['Jeff\xa0Stevens', 'Ashley\xa0Giesler', 'J.T.\xa0Fitzgerald', 'Jim\xa0Southern', 'Coley\xa0Andrews', 'David\xa0Carver', 'Jim\xa0Edmunds', 'Rich\xa0Kelley', 'Scott\xa0Alderman', 'Cregg\xa0Baumbaugh', 'Mitch\xa0Cohen', 'Richard\xa0Augustyn', 'Craig\xa0Burr ', 'Matthew\xa0Burr', 'Matt\xa0Diamond', 'David\xa0Dodson', 'Bill\xa0Egan ', 'Mark\xa0Egan ', 'Jim\xa0Johnson', 'Joe\xa0Niehaus', 'Will\xa0Thorndike', 'A.J.\xa0Wasserstein', 'Kent\xa0Weaver', 'Greg\xa0Matthews', 'Grant\xa0Schafle', 'Larry\xa0Dunn', 'Sandro\xa0Mina', 'Martin\xa0Steber', 'Brad\xa0Brown', 'Lacey\xa0Wismer', 'Andrew\xa0Hunter ', 'Peter\xa0Schober']",['John\xa0Melbourne']
272,MLD Capital  ,Self Funded,20160701,"Austin, TX, USA",Acquired,event services,20160901,1293,,,Business Services,"Texas, USA",['Sean\xa0Dehan'],[],[]
273,Fenton Avenue Capital  ,Self Funded,20140606,"New York, NY, United States",Acquired,Coastal Painting Company of Florida,20161001,73,http://www.fentonavenuecapital.com/,,Construction,"Florida, USA",['Earl\xa0Gordon'],['Steve\xa0Ressler'],[]
274,Maple Tree Capital  ,Self Funded,20151010,"Toronto, ON, Canada",Acquired,Avanti Software Inc.,20161003,607,https://www.mapletreecapital.ca,http://www.avanti.ca,Software,"Calgary, AB, Canada",['Amin\xa0Lalani'],[],[]
275,Galaxi Group  ,Self Funded,20140202,"San Francisco, CA, United States",Acquired,City Leaf,20161010,179,galaxi.group,https://cityleaf.com/,Business Services,"Oakland, CA, USA",['Rich\xa0Bronstein'],[],[]
276,Anchor Light Parnters  ,Traditional,20150701,"Chicago, IL, United States",Acquired,Alert Protective Services,20161010,344,http://www.anchorlightllc.com/,www.alertprotective.com,Consumer Services,"Chicago, IL, United States",['David\xa0Silberstein '],"['Aaron\xa0Gabbart', 'Rich\xa0Kelley', 'Jim\xa0Edmunds', 'David\xa0Carver', 'Sandro\xa0Mina', 'Martin\xa0Steber', 'Paul\xa0Davies', 'Rene\xa0Lajous', 'Chris\xa0Sekula', 'Will\xa0Thorndike', 'Jim\xa0Wilder', 'Joe\xa0Niehaus', 'Will\xa0Bressman', 'Tom\xa0Cassutt', 'Bret\xa0Comolli', 'Matt\xa0Diamond', 'David\xa0Dodson', 'Jim\xa0Ellis', 'Jim\xa0Johnson', 'Peter\xa0Kelly', 'David\xa0Lazier', 'Andy\xa0Love', 'Bryan\xa0Meehan ', 'Gerald\xa0Risk', 'Kevin\xa0Taweel', 'Kent\xa0Weaver', 'Harold\xa0Mottet', 'Joel\xa0Peterson', 'Brad\xa0Buser']",['Tim\xa0Mendoza']
277,Kerwood Capital Partners  ,Traditional,20140808,"San Diego, CA, United States",Acquired,Blue Sky Network,20161016,92,http://www.kerwoodcp.com/,http://blueskynetwork.com/,Software,"San Diego, CA, United States","['Gregoire\xa0Demory', 'Kambiz\xa0Aghili']","['J.T.\xa0Fitzgerald', 'Jay\xa0Ferst', 'Dom\xa0Ferst', 'Jim\xa0Southern', 'Coley\xa0Andrews', 'Sandro\xa0Mina', 'Martin\xa0Steber', 'Paul\xa0Davies', 'Rene\xa0Lajous', 'Chris\xa0Sekula', 'Andy\xa0Love', 'Robert\xa0Whitelaw', 'Rick\xa0Bruder', 'Mark\xa0Rothschild', 'Ken\xa0Bowdon', 'Rich\xa0Kelley', 'Jim\xa0Edmunds', 'David\xa0Carver', 'Todd\xa0Tracey', 'Craig\xa0Jones', 'Allen\xa0Hill ', 'Bob\xa0Oster ', 'David\xa0Dodson', 'Jim\xa0Johnson', 'Matt\xa0Diamond', 'Ted\xa0McCarthy', 'Bill\xa0Egan ', 'Mark\xa0Egan ', 'Bruno\xa0Demory ', 'Kent\xa0Weaver', 'Richard\xa0Augustyn', 'Larry\xa0Dunn', 'Brad\xa0Brown', 'Brad\xa0Buser']","['David\xa0Stevens', 'Elaine\xa0Poon', 'Andrew\xa0Feng', 'Jean Paul\xa0Destarac']"
278,Lyndhurst Capital  ,Self Funded,20140404,"Marshalltown, IA, United States",Acquired,American Color Labs of Austin,20161025,71,http://www.lyndhurstcap.com/home.html,http://www.aclaustin.com/,Business Services,"Austin, TX, United States",['Andrew\xa0Mondi'],[],[]
279,Cornerstone Continuity Partners  ,Traditional,20140606,"Atlanta, GA, United States",Acquired,MST Services,20161028,75,http://www.cornerstonecontinuity.com/,http://www.mstservices.com,Healthcare,"Mount Pleasant, SC, United States","['Josh\xa0Glade', 'Logan\xa0Greenspan']","['Jeff\xa0Stevens', 'Ashley\xa0Giesler', 'Paul\xa0Davies', 'Rene\xa0Lajous', 'Chris\xa0Sekula', 'Lacey\xa0Wismer', 'Mark\xa0Rothschild', 'Robert\xa0Whitelaw', 'Rick\xa0Bruder', ""MK\xa0O'Connell"", ""Michael F\xa0O'Connell"", 'Sandro\xa0Mina', 'Martin\xa0Steber', 'Rich\xa0Kelley', 'Jim\xa0Edmunds', 'David\xa0Carver', 'Nurit\xa0Amdur ', 'Rick\xa0Amdur ', 'Scott\xa0Asen', 'Richard\xa0Augustyn', 'Tomas\xa0Bergstrand', 'Craig\xa0Burr ', 'Matthew\xa0Burr', 'Bill\xa0Egan ', 'Mark\xa0Egan ', 'Andy\xa0Love', 'Ted\xa0McCarthy', 'Joe\xa0Niehaus', 'Will\xa0Thorndike', 'Kent\xa0Weaver', 'Steven\xa0Wheelwright', 'Harold\xa0Mottet', 'Greg\xa0Matthews', 'Grant\xa0Schafle', 'Larry\xa0Dunn', 'Andrew\xa0Hunter ', 'Brad\xa0Buser']",[]
280,Four Pillars  ,Self Funded,20141201,"Kansas City, MO",Acquired,"Southwest Steel Fabrication, LLC",20161101,641,www.fourpillarsinvestors.com,http://www.fourpillarsinvestors.com/,Manufacturing,"Kansas City, MO, United States",['Nick\xa0McLean'],[],[]
281,Horizon View Capital  ,Traditional,20141001,"Highland, Utah",Acquired,Light Wave Dental,20161101,251,http://www.horizonviewcapital.com/,www.lightwavedental.com,Healthcare,"Fredericksburg, VA, United States",['Justin\xa0Jory'],"['Aaron\xa0Gabbart', 'Greg\xa0Warnock ', 'Kevin\xa0Taweel', 'Jim\xa0Ellis', 'Bret\xa0Comolli', 'Gerald\xa0Risk', 'Sandro\xa0Mina', 'Martin\xa0Steber', 'Bill\xa0Egan ', 'Mark\xa0Egan ', 'Craig\xa0Burr ', 'Matthew\xa0Burr', ""MK\xa0O'Connell"", ""Michael F\xa0O'Connell"", 'Kent\xa0Weaver', 'Gary\xa0Williams ', 'Ben\xa0Peterson ', 'Ted\xa0McCarthy', 'Joe\xa0Niehaus', 'Will\xa0Thorndike', 'Jim\xa0Southern', 'Coley\xa0Andrews', 'Joel\xa0Peterson']",[]
282,Jacmel Growth Partners  ,Single Sponsor,20150808,"Brooklyn, NY, United States",Acquired,"CSA Service Solutions, LLC (renamed EMSAR)",20161101,186,http://jacmelgp.com/,https://www.csa-service.com/,Business Services,"Austin, TX, USA",['Nick\xa0Jean-Baptiste'],"['Joel\xa0Peterson', 'Aaron\xa0Gabbart', 'Khary\xa0Robinson']",[]
283,Gemini Investors - EIR David Kemp  ,Single Sponsor,20141102,"Boston, MA, United States",Acquired,Les Trois Petits Cochons,20161103,172,http://www.gemini-investors.com/,http://3pigs.com/,Manufacturing,"Brooklyn, NY, United States",['David\xa0Kemp'],['James\xa0Goodman'],[]
284,"McCombie Group, LLC  ",Self Funded,20100101,"Miami, FL, United States",Acquired,Atlantic Tractor,20161111,779,http://www.mccombiegroup.com,http://www.atlantictractors.com/default.htm,Agriculture,"Oxford, PA, USA","['David\xa0McCombie', 'Jay\xa0Lipsey']","['Michael\xa0Xu', 'Juan\xa0Vergara Fuenmayor', 'David\xa0Spigelman ']",[]
285,Piyush Pandey search fund  ,Traditional,20130301,"Fremont, CA, United States",Acquired,GreyHeller LLC (now Appsian),20161201,461,https://www.proceranetworks.com/,http://www.appsian.com/,Software,"San Francisco, CA, United States",['Piyush\xa0Pandey '],"['Tom\xa0Cassutt', 'David\xa0Lazier', 'Rich\xa0Kelley', 'Jim\xa0Edmunds', 'David\xa0Carver', 'Gerald\xa0Risk', 'Jim\xa0Ellis', 'Kevin\xa0Taweel', 'Bret\xa0Comolli', 'Sumit\xa0Garg', 'Doug\xa0Tudor ', 'Brandon\xa0Cope ', 'Sandro\xa0Mina', 'Martin\xa0Steber']",[]
286,Heritage Holding  ,Self Funded,20150202,"Boston, MA, United States",Acquired,Maicom,20161215,94,http://www.heritage-holding.com/,http://www.maicomllc.com,Business Services,"North Andover, MA, USA","['Ross\xa0Porter', 'Alexandre\xa0de Pfyffer']","['Tim\xa0Rooney ', 'Juan\xa0Serrano ', 'Zach\xa0Golub ']",[]
287,N Capital  ,Traditional,20150101,"Madrid, Spain",Acquired,CERMER,20161216,148,http://www.ncapital.es/,http://www.cermer.com,Manufacturing,"Villarreal, Spain",['Nuño\xa0Arroyo'],"['Fernando\xa0Herrero ', 'Ignacio\xa0Izquierdo Saugar', 'Richard\xa0Vaughan ', 'Luis\xa0Camilleri Terrer', 'Jorge\xa0Maortua ', 'Stephane\xa0Metral ', 'Jorge\xa0Zubiaga Urrestarazu', 'Juan\xa0Antonio Gómez Bulé ', 'Jaime\xa0Carvajal y Urquijo ', 'Carlos\xa0Ciérvide ', 'Gonzalo\xa0Artiach Louit ', 'Marisol\xa0Quintero ', 'Maurice\xa0Locher ', 'Manuel\xa0Jesús García ', 'Juan\xa0Enrique Bleda ', 'Juan\xa0Manuel Martínez Galán ', 'Lina\xa0Ramírez ', 'Enrique\xa0Chamorro ', 'Francisco\xa0Álvarez ', 'Alejandra\xa0Pastor-Peris ', 'Jaime\xa0Pérez Guitián ', 'Iñigo\xa0Guinea Olábarri ', 'Pilar\xa0Pamies ']",[]
288,"Tesseract Investors, LLC  ",Traditional,20160101,"Baltimore, MD, USA",Acquired,Mobile Sweep (property maintenance services),20170101,983,,http://www.mobilesweepinc.com/,Business Services,"Baltimore, MD, USA","['Sunny\xa0Kanneganti', 'Kevin\xa0Dinh']",[],[]
289,Greenwich Point Capital  ,Traditional,20150606,"New York, NY, United States",Acquired,Morningside Transalations,20170101,163,http://www.greenwichpointcap.com/,http://www.morningtrans.com,Business Services,"New York City, NY, United States","['Thomas\xa0Klein', 'Roland\xa0Lessard']","['Jim\xa0Southern', 'Coley\xa0Andrews', 'Jeff\xa0Stevens', 'Ashley\xa0Giesler', 'Scott\xa0Alderman', 'Cregg\xa0Baumbaugh', 'Mitch\xa0Cohen', 'Gerald\xa0Risk', 'Will\xa0Thorndike', 'Joe\xa0Niehaus', 'Jim\xa0Johnson', 'Matt\xa0Diamond', 'Richard\xa0Augustyn', 'Larry\xa0Dunn', 'Kent\xa0Weaver', 'Greg\xa0Matthews', 'Grant\xa0Schafle']",['Gordon\xa0Crenshaw']
290,Taqia Capital  ,Traditional,20150101,"São Paulo - SP, Brasil",Acquired,IS Logística,20170101,367,inactive: http://www.taqia.com.br/en/,http://islogistica.com.br/,Transportation,"São Paulo, Brazil","['Marcelo\xa0Novaes ', 'Andre\xa0Freire ']","['Gerald\xa0Risk', 'Aaron\xa0Gabbart', 'Peter\xa0Kelly', 'Jeff\xa0Stevens', 'Jim\xa0Southern', 'Tom\xa0Cassutt', 'David\xa0Lazier', 'Ashley\xa0Giesler', 'Coley\xa0Andrews', 'Greg\xa0Matthews', 'Grant\xa0Schafle', 'Angel\xa0Alvarez Cadavieco', 'Guillermo\xa0Zambrano', 'Sandro\xa0Mina', 'Martin\xa0Steber']",[]
291,Roman Road Ventures  ,Traditional,20140606,"Austin, TX, United States",Acquired,eRequester (now Fraxion),20170101,189,inactive: http://www.romanroadcapital.com/,http://www.erequester.com,Software,"Seattle, Washington, United States",['Benjamin\xa0Litjen'],"['Jim\xa0Southern', 'Coley\xa0Andrews', 'Scott\xa0Alderman', 'Cregg\xa0Baumbaugh', 'Mitch\xa0Cohen', 'Rich\xa0Kelley', 'David\xa0Carver', 'Jim\xa0Edmunds', 'Kent\xa0Weaver', 'James\xa0Donovan ', 'Roy\xa0Richards Jr. ', 'Jim\xa0Johnson', 'Matt\xa0Diamond', 'David\xa0Dodson', 'Blake\xa0Winchell ', 'Paul\xa0Davies', 'Rene\xa0Lajous', 'Lacey\xa0Wismer', 'Andrew\xa0Hunter ', 'Brett\xa0Byers ', 'Peter\xa0Schober']",[]
292,Discover Capital  ,Traditional,20140425,"Arvada, CO, United States",Acquired,,20170101,12,www.discovercapital.net,,,,['Kelly\xa0Bianucci'],"['Tomas\xa0Bergstrand', 'Tom\xa0Cassutt', 'Paul\xa0Davies', 'Rene\xa0Lajous', 'Matt\xa0Diamond', 'Peter\xa0Francis ', 'Jim\xa0Johnson', 'David\xa0Lazier', 'Andy\xa0Love', 'Tim\xa0Ludwig', 'Jim\xa0Southern', 'Coley\xa0Andrews', 'John\xa0Patrick Quann ', 'Sandro\xa0Mina', 'Martin\xa0Steber', 'Elliot\xa0Sainer', 'David\xa0Carver', 'Rich\xa0Kelley', 'Jim\xa0Edmunds', 'Kent\xa0Weaver', 'Brad\xa0Buser']",['Ayu\xa0Djaputra']
